condition_id,split,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,inside_training_axis_bounds,all_axis_values_seen_in_training,is_training_domain_boundary,phase1_eligible,phase1_exclusion_reason
speed_200rpm__torque_1600Nm__temperature_35degC,train,200.0,1600.0,35.0,True,True,True,True,none
speed_200rpm__torque_1700Nm__temperature_25degC,train,200.0,1700.0,25.0,True,True,True,True,none
speed_200rpm__torque_1700Nm__temperature_30degC,train,200.0,1700.0,30.0,True,True,False,True,none
speed_200rpm__torque_1800Nm__temperature_25degC,train,200.0,1800.0,25.0,True,True,True,True,none
speed_200rpm__torque_1800Nm__temperature_30degC,train,200.0,1800.0,30.0,True,True,True,True,none
speed_200rpm__torque_1800Nm__temperature_35degC,train,200.0,1800.0,35.0,True,True,True,True,none
speed_300rpm__torque_0Nm__temperature_25degC,train,300.0,0.0,25.0,True,True,True,True,none
speed_300rpm__torque_0Nm__temperature_30degC,train,300.0,0.0,30.0,True,True,True,True,none
speed_300rpm__torque_0Nm__temperature_35degC,train,300.0,0.0,35.0,True,True,True,True,none
speed_300rpm__torque_100Nm__temperature_25degC,train,300.0,100.0,25.0,True,True,True,True,none
speed_300rpm__torque_100Nm__temperature_30degC,train,300.0,100.0,30.0,True,True,False,True,none
speed_300rpm__torque_200Nm__temperature_25degC,train,300.0,200.0,25.0,True,True,True,True,none
speed_300rpm__torque_200Nm__temperature_35degC,train,300.0,200.0,35.0,True,True,True,True,none
speed_300rpm__torque_300Nm__temperature_25degC,train,300.0,300.0,25.0,True,True,True,True,none
speed_300rpm__torque_300Nm__temperature_30degC,train,300.0,300.0,30.0,True,True,False,True,none
speed_300rpm__torque_300Nm__temperature_35degC,train,300.0,300.0,35.0,True,True,True,True,none
speed_300rpm__torque_400Nm__temperature_25degC,train,300.0,400.0,25.0,True,True,True,True,none
speed_300rpm__torque_400Nm__temperature_30degC,train,300.0,400.0,30.0,True,True,False,True,none
speed_300rpm__torque_400Nm__temperature_35degC,train,300.0,400.0,35.0,True,True,True,True,none
speed_300rpm__torque_500Nm__temperature_30degC,train,300.0,500.0,30.0,True,True,False,True,none
speed_300rpm__torque_500Nm__temperature_35degC,train,300.0,500.0,35.0,True,True,True,True,none
speed_300rpm__torque_600Nm__temperature_25degC,train,300.0,600.0,25.0,True,True,True,True,none
speed_300rpm__torque_600Nm__temperature_30degC,train,300.0,600.0,30.0,True,True,False,True,none
speed_300rpm__torque_600Nm__temperature_35degC,train,300.0,600.0,35.0,True,True,True,True,none
speed_300rpm__torque_700Nm__temperature_25degC,train,300.0,700.0,25.0,True,True,True,True,none
speed_300rpm__torque_700Nm__temperature_30degC,train,300.0,700.0,30.0,True,True,False,True,none
speed_300rpm__torque_700Nm__temperature_35degC,train,300.0,700.0,35.0,True,True,True,True,none
speed_300rpm__torque_800Nm__temperature_30degC,train,300.0,800.0,30.0,True,True,False,True,none
speed_300rpm__torque_800Nm__temperature_35degC,train,300.0,800.0,35.0,True,True,True,True,none
speed_300rpm__torque_900Nm__temperature_25degC,train,300.0,900.0,25.0,True,True,True,True,none
speed_300rpm__torque_900Nm__temperature_30degC,train,300.0,900.0,30.0,True,True,False,True,none
speed_300rpm__torque_900Nm__temperature_35degC,train,300.0,900.0,35.0,True,True,True,True,none
speed_300rpm__torque_1000Nm__temperature_30degC,train,300.0,1000.0,30.0,True,True,False,True,none
speed_300rpm__torque_1000Nm__temperature_35degC,train,300.0,1000.0,35.0,True,True,True,True,none
speed_300rpm__torque_1200Nm__temperature_30degC,train,300.0,1200.0,30.0,True,True,False,True,none
speed_300rpm__torque_1200Nm__temperature_35degC,train,300.0,1200.0,35.0,True,True,True,True,none
speed_300rpm__torque_1300Nm__temperature_25degC,train,300.0,1300.0,25.0,True,True,True,True,none
speed_300rpm__torque_1300Nm__temperature_30degC,train,300.0,1300.0,30.0,True,True,False,True,none
speed_300rpm__torque_1300Nm__temperature_35degC,train,300.0,1300.0,35.0,True,True,True,True,none
speed_300rpm__torque_1400Nm__temperature_25degC,train,300.0,1400.0,25.0,True,True,True,True,none
speed_300rpm__torque_1400Nm__temperature_35degC,train,300.0,1400.0,35.0,True,True,True,True,none
speed_300rpm__torque_1500Nm__temperature_25degC,train,300.0,1500.0,25.0,True,True,True,True,none
speed_300rpm__torque_1500Nm__temperature_30degC,train,300.0,1500.0,30.0,True,True,False,True,none
speed_300rpm__torque_1500Nm__temperature_35degC,train,300.0,1500.0,35.0,True,True,True,True,none
speed_300rpm__torque_1600Nm__temperature_25degC,train,300.0,1600.0,25.0,True,True,True,True,none
speed_300rpm__torque_1600Nm__temperature_30degC,train,300.0,1600.0,30.0,True,True,False,True,none
speed_300rpm__torque_1600Nm__temperature_35degC,train,300.0,1600.0,35.0,True,True,True,True,none
speed_300rpm__torque_1700Nm__temperature_25degC,train,300.0,1700.0,25.0,True,True,True,True,none
speed_300rpm__torque_1700Nm__temperature_30degC,train,300.0,1700.0,30.0,True,True,False,True,none
speed_300rpm__torque_1700Nm__temperature_35degC,train,300.0,1700.0,35.0,True,True,True,True,none
speed_300rpm__torque_1800Nm__temperature_25degC,train,300.0,1800.0,25.0,True,True,True,True,none
speed_300rpm__torque_1800Nm__temperature_30degC,train,300.0,1800.0,30.0,True,True,True,True,none
speed_300rpm__torque_1800Nm__temperature_35degC,train,300.0,1800.0,35.0,True,True,True,True,none
speed_400rpm__torque_0Nm__temperature_25degC,train,400.0,0.0,25.0,True,True,True,True,none
speed_400rpm__torque_100Nm__temperature_30degC,train,400.0,100.0,30.0,True,True,False,True,none
speed_400rpm__torque_100Nm__temperature_35degC,train,400.0,100.0,35.0,True,True,True,True,none
speed_400rpm__torque_200Nm__temperature_35degC,train,400.0,200.0,35.0,True,True,True,True,none
speed_400rpm__torque_300Nm__temperature_30degC,train,400.0,300.0,30.0,True,True,False,True,none
speed_400rpm__torque_300Nm__temperature_35degC,train,400.0,300.0,35.0,True,True,True,True,none
speed_400rpm__torque_500Nm__temperature_25degC,train,400.0,500.0,25.0,True,True,True,True,none
speed_400rpm__torque_500Nm__temperature_30degC,train,400.0,500.0,30.0,True,True,False,True,none
speed_400rpm__torque_600Nm__temperature_30degC,train,400.0,600.0,30.0,True,True,False,True,none
speed_400rpm__torque_700Nm__temperature_35degC,train,400.0,700.0,35.0,True,True,True,True,none
speed_400rpm__torque_800Nm__temperature_25degC,train,400.0,800.0,25.0,True,True,True,True,none
speed_400rpm__torque_800Nm__temperature_30degC,train,400.0,800.0,30.0,True,True,False,True,none
speed_400rpm__torque_800Nm__temperature_35degC,train,400.0,800.0,35.0,True,True,True,True,none
speed_400rpm__torque_1000Nm__temperature_35degC,train,400.0,1000.0,35.0,True,True,True,True,none
speed_400rpm__torque_1100Nm__temperature_25degC,train,400.0,1100.0,25.0,True,True,True,True,none
speed_400rpm__torque_1100Nm__temperature_30degC,train,400.0,1100.0,30.0,True,True,False,True,none
speed_400rpm__torque_1100Nm__temperature_35degC,train,400.0,1100.0,35.0,True,True,True,True,none
speed_400rpm__torque_1200Nm__temperature_25degC,train,400.0,1200.0,25.0,True,True,True,True,none
speed_400rpm__torque_1200Nm__temperature_30degC,train,400.0,1200.0,30.0,True,True,False,True,none
speed_400rpm__torque_1200Nm__temperature_35degC,train,400.0,1200.0,35.0,True,True,True,True,none
speed_400rpm__torque_1300Nm__temperature_25degC,train,400.0,1300.0,25.0,True,True,True,True,none
speed_400rpm__torque_1300Nm__temperature_35degC,train,400.0,1300.0,35.0,True,True,True,True,none
speed_400rpm__torque_1400Nm__temperature_30degC,train,400.0,1400.0,30.0,True,True,False,True,none
speed_400rpm__torque_1400Nm__temperature_35degC,train,400.0,1400.0,35.0,True,True,True,True,none
speed_400rpm__torque_1500Nm__temperature_25degC,train,400.0,1500.0,25.0,True,True,True,True,none
speed_400rpm__torque_1500Nm__temperature_30degC,train,400.0,1500.0,30.0,True,True,False,True,none
speed_400rpm__torque_1500Nm__temperature_35degC,train,400.0,1500.0,35.0,True,True,True,True,none
speed_400rpm__torque_1600Nm__temperature_25degC,train,400.0,1600.0,25.0,True,True,True,True,none
speed_400rpm__torque_1600Nm__temperature_30degC,train,400.0,1600.0,30.0,True,True,False,True,none
speed_400rpm__torque_1700Nm__temperature_25degC,train,400.0,1700.0,25.0,True,True,True,True,none
speed_400rpm__torque_1700Nm__temperature_30degC,train,400.0,1700.0,30.0,True,True,False,True,none
speed_400rpm__torque_1700Nm__temperature_35degC,train,400.0,1700.0,35.0,True,True,True,True,none
speed_400rpm__torque_1800Nm__temperature_25degC,train,400.0,1800.0,25.0,True,True,True,True,none
speed_400rpm__torque_1800Nm__temperature_30degC,train,400.0,1800.0,30.0,True,True,True,True,none
speed_500rpm__torque_0Nm__temperature_25degC,train,500.0,0.0,25.0,True,True,True,True,none
speed_500rpm__torque_0Nm__temperature_35degC,train,500.0,0.0,35.0,True,True,True,True,none
speed_500rpm__torque_100Nm__temperature_35degC,train,500.0,100.0,35.0,True,True,True,True,none
speed_500rpm__torque_200Nm__temperature_25degC,train,500.0,200.0,25.0,True,True,True,True,none
speed_500rpm__torque_200Nm__temperature_30degC,train,500.0,200.0,30.0,True,True,False,True,none
speed_500rpm__torque_300Nm__temperature_25degC,train,500.0,300.0,25.0,True,True,True,True,none
speed_500rpm__torque_300Nm__temperature_30degC,train,500.0,300.0,30.0,True,True,False,True,none
speed_500rpm__torque_400Nm__temperature_25degC,train,500.0,400.0,25.0,True,True,True,True,none
speed_500rpm__torque_400Nm__temperature_35degC,train,500.0,400.0,35.0,True,True,True,True,none
speed_500rpm__torque_500Nm__temperature_25degC,train,500.0,500.0,25.0,True,True,True,True,none
speed_500rpm__torque_500Nm__temperature_30degC,train,500.0,500.0,30.0,True,True,False,True,none
speed_500rpm__torque_500Nm__temperature_35degC,train,500.0,500.0,35.0,True,True,True,True,none
speed_500rpm__torque_600Nm__temperature_25degC,train,500.0,600.0,25.0,True,True,True,True,none
speed_500rpm__torque_600Nm__temperature_35degC,train,500.0,600.0,35.0,True,True,True,False,nominal_speed_mismatch
speed_500rpm__torque_700Nm__temperature_30degC,train,500.0,700.0,30.0,True,True,False,True,none
speed_500rpm__torque_800Nm__temperature_25degC,train,500.0,800.0,25.0,True,True,True,True,none
speed_500rpm__torque_800Nm__temperature_30degC,train,500.0,800.0,30.0,True,True,False,True,none
speed_500rpm__torque_800Nm__temperature_35degC,train,500.0,800.0,35.0,True,True,True,True,none
speed_500rpm__torque_900Nm__temperature_25degC,train,500.0,900.0,25.0,True,True,True,True,none
speed_500rpm__torque_900Nm__temperature_35degC,train,500.0,900.0,35.0,True,True,True,True,none
speed_500rpm__torque_1000Nm__temperature_25degC,train,500.0,1000.0,25.0,True,True,True,True,none
speed_500rpm__torque_1000Nm__temperature_30degC,train,500.0,1000.0,30.0,True,True,False,True,none
speed_500rpm__torque_1000Nm__temperature_35degC,train,500.0,1000.0,35.0,True,True,True,True,none
speed_500rpm__torque_1100Nm__temperature_25degC,train,500.0,1100.0,25.0,True,True,True,True,none
speed_500rpm__torque_1100Nm__temperature_35degC,train,500.0,1100.0,35.0,True,True,True,True,none
speed_500rpm__torque_1200Nm__temperature_30degC,train,500.0,1200.0,30.0,True,True,False,True,none
speed_500rpm__torque_1200Nm__temperature_35degC,train,500.0,1200.0,35.0,True,True,True,True,none
speed_500rpm__torque_1300Nm__temperature_25degC,train,500.0,1300.0,25.0,True,True,True,True,none
speed_500rpm__torque_1300Nm__temperature_30degC,train,500.0,1300.0,30.0,True,True,False,True,none
speed_500rpm__torque_1300Nm__temperature_35degC,train,500.0,1300.0,35.0,True,True,True,True,none
speed_500rpm__torque_1400Nm__temperature_25degC,train,500.0,1400.0,25.0,True,True,True,True,none
speed_500rpm__torque_1400Nm__temperature_30degC,train,500.0,1400.0,30.0,True,True,False,True,none
speed_500rpm__torque_1500Nm__temperature_25degC,train,500.0,1500.0,25.0,True,True,True,True,none
speed_500rpm__torque_1500Nm__temperature_30degC,train,500.0,1500.0,30.0,True,True,False,True,none
speed_500rpm__torque_1500Nm__temperature_35degC,train,500.0,1500.0,35.0,True,True,True,True,none
speed_500rpm__torque_1600Nm__temperature_25degC,train,500.0,1600.0,25.0,True,True,True,True,none
speed_500rpm__torque_1600Nm__temperature_35degC,train,500.0,1600.0,35.0,True,True,True,True,none
speed_500rpm__torque_1700Nm__temperature_30degC,train,500.0,1700.0,30.0,True,True,False,True,none
speed_500rpm__torque_1700Nm__temperature_35degC,train,500.0,1700.0,35.0,True,True,True,True,none
speed_500rpm__torque_1800Nm__temperature_30degC,train,500.0,1800.0,30.0,True,True,True,True,none
speed_500rpm__torque_1800Nm__temperature_35degC,train,500.0,1800.0,35.0,True,True,True,True,none
speed_600rpm__torque_0Nm__temperature_25degC,train,600.0,0.0,25.0,True,True,True,True,none
speed_600rpm__torque_0Nm__temperature_30degC,train,600.0,0.0,30.0,True,True,True,True,none
speed_600rpm__torque_100Nm__temperature_25degC,train,600.0,100.0,25.0,True,True,True,True,none
speed_600rpm__torque_200Nm__temperature_25degC,train,600.0,200.0,25.0,True,True,True,True,none
speed_600rpm__torque_200Nm__temperature_30degC,train,600.0,200.0,30.0,True,True,False,True,none
speed_600rpm__torque_300Nm__temperature_25degC,train,600.0,300.0,25.0,True,True,True,True,none
speed_600rpm__torque_300Nm__temperature_30degC,train,600.0,300.0,30.0,True,True,False,True,none
speed_600rpm__torque_300Nm__temperature_35degC,train,600.0,300.0,35.0,True,True,True,True,none
speed_600rpm__torque_400Nm__temperature_25degC,train,600.0,400.0,25.0,True,True,True,True,none
speed_600rpm__torque_500Nm__temperature_25degC,train,600.0,500.0,25.0,True,True,True,True,none
speed_600rpm__torque_600Nm__temperature_25degC,train,600.0,600.0,25.0,True,True,True,True,none
speed_600rpm__torque_600Nm__temperature_30degC,train,600.0,600.0,30.0,True,True,False,True,none
speed_600rpm__torque_600Nm__temperature_35degC,train,600.0,600.0,35.0,True,True,True,True,none
speed_600rpm__torque_700Nm__temperature_25degC,train,600.0,700.0,25.0,True,True,True,True,none
speed_600rpm__torque_700Nm__temperature_30degC,train,600.0,700.0,30.0,True,True,False,True,none
speed_600rpm__torque_800Nm__temperature_25degC,train,600.0,800.0,25.0,True,True,True,True,none
speed_600rpm__torque_800Nm__temperature_30degC,train,600.0,800.0,30.0,True,True,False,True,none
speed_600rpm__torque_900Nm__temperature_25degC,train,600.0,900.0,25.0,True,True,True,True,none
speed_600rpm__torque_900Nm__temperature_30degC,train,600.0,900.0,30.0,True,True,False,True,none
speed_600rpm__torque_900Nm__temperature_35degC,train,600.0,900.0,35.0,True,True,True,True,none
speed_600rpm__torque_1000Nm__temperature_25degC,train,600.0,1000.0,25.0,True,True,True,True,none
speed_600rpm__torque_1000Nm__temperature_35degC,train,600.0,1000.0,35.0,True,True,True,True,none
speed_600rpm__torque_1100Nm__temperature_30degC,train,600.0,1100.0,30.0,True,True,False,True,none
speed_600rpm__torque_1200Nm__temperature_25degC,train,600.0,1200.0,25.0,True,True,True,True,none
speed_600rpm__torque_1200Nm__temperature_30degC,train,600.0,1200.0,30.0,True,True,False,True,none
speed_600rpm__torque_1200Nm__temperature_35degC,train,600.0,1200.0,35.0,True,True,True,True,none
speed_600rpm__torque_1300Nm__temperature_25degC,train,600.0,1300.0,25.0,True,True,True,True,none
speed_600rpm__torque_1400Nm__temperature_30degC,train,600.0,1400.0,30.0,True,True,False,True,none
speed_600rpm__torque_1500Nm__temperature_30degC,train,600.0,1500.0,30.0,True,True,False,True,none
speed_600rpm__torque_1500Nm__temperature_35degC,train,600.0,1500.0,35.0,True,True,True,True,none
speed_600rpm__torque_1600Nm__temperature_25degC,train,600.0,1600.0,25.0,True,True,True,True,none
speed_600rpm__torque_1600Nm__temperature_35degC,train,600.0,1600.0,35.0,True,True,True,True,none
speed_600rpm__torque_1700Nm__temperature_30degC,train,600.0,1700.0,30.0,True,True,False,True,none
speed_600rpm__torque_1700Nm__temperature_35degC,train,600.0,1700.0,35.0,True,True,True,True,none
speed_600rpm__torque_1800Nm__temperature_25degC,train,600.0,1800.0,25.0,True,True,True,True,none
speed_600rpm__torque_1800Nm__temperature_30degC,train,600.0,1800.0,30.0,True,True,True,True,none
speed_600rpm__torque_1800Nm__temperature_35degC,train,600.0,1800.0,35.0,True,True,True,True,none
speed_700rpm__torque_0Nm__temperature_25degC,train,700.0,0.0,25.0,True,True,True,True,none
speed_700rpm__torque_0Nm__temperature_30degC,train,700.0,0.0,30.0,True,True,True,True,none
speed_700rpm__torque_0Nm__temperature_35degC,train,700.0,0.0,35.0,True,True,True,True,none
speed_700rpm__torque_100Nm__temperature_25degC,train,700.0,100.0,25.0,True,True,True,True,none
speed_700rpm__torque_100Nm__temperature_30degC,train,700.0,100.0,30.0,True,True,False,True,none
speed_700rpm__torque_100Nm__temperature_35degC,train,700.0,100.0,35.0,True,True,True,True,none
speed_700rpm__torque_200Nm__temperature_25degC,train,700.0,200.0,25.0,True,True,True,True,none
speed_700rpm__torque_200Nm__temperature_35degC,train,700.0,200.0,35.0,True,True,True,True,none
speed_700rpm__torque_300Nm__temperature_25degC,train,700.0,300.0,25.0,True,True,True,True,none
speed_700rpm__torque_300Nm__temperature_30degC,train,700.0,300.0,30.0,True,True,False,True,none
speed_700rpm__torque_300Nm__temperature_35degC,train,700.0,300.0,35.0,True,True,True,True,none
speed_700rpm__torque_400Nm__temperature_35degC,train,700.0,400.0,35.0,True,True,True,True,none
speed_700rpm__torque_500Nm__temperature_25degC,train,700.0,500.0,25.0,True,True,True,True,none
speed_700rpm__torque_500Nm__temperature_35degC,train,700.0,500.0,35.0,True,True,True,True,none
speed_700rpm__torque_600Nm__temperature_35degC,train,700.0,600.0,35.0,True,True,True,True,none
speed_700rpm__torque_700Nm__temperature_25degC,train,700.0,700.0,25.0,True,True,True,True,none
speed_700rpm__torque_700Nm__temperature_30degC,train,700.0,700.0,30.0,True,True,False,True,none
speed_700rpm__torque_800Nm__temperature_25degC,train,700.0,800.0,25.0,True,True,True,True,none
speed_700rpm__torque_800Nm__temperature_30degC,train,700.0,800.0,30.0,True,True,False,True,none
speed_700rpm__torque_800Nm__temperature_35degC,train,700.0,800.0,35.0,True,True,True,True,none
speed_700rpm__torque_900Nm__temperature_30degC,train,700.0,900.0,30.0,True,True,False,True,none
speed_700rpm__torque_900Nm__temperature_35degC,train,700.0,900.0,35.0,True,True,True,True,none
speed_700rpm__torque_1000Nm__temperature_30degC,train,700.0,1000.0,30.0,True,True,False,True,none
speed_700rpm__torque_1100Nm__temperature_25degC,train,700.0,1100.0,25.0,True,True,True,True,none
speed_700rpm__torque_1100Nm__temperature_30degC,train,700.0,1100.0,30.0,True,True,False,True,none
speed_700rpm__torque_1100Nm__temperature_35degC,train,700.0,1100.0,35.0,True,True,True,True,none
speed_700rpm__torque_1200Nm__temperature_25degC,train,700.0,1200.0,25.0,True,True,True,True,none
speed_700rpm__torque_1200Nm__temperature_30degC,train,700.0,1200.0,30.0,True,True,False,True,none
speed_700rpm__torque_1300Nm__temperature_25degC,train,700.0,1300.0,25.0,True,True,True,True,none
speed_700rpm__torque_1300Nm__temperature_30degC,train,700.0,1300.0,30.0,True,True,False,True,none
speed_700rpm__torque_1300Nm__temperature_35degC,train,700.0,1300.0,35.0,True,True,True,True,none
speed_700rpm__torque_1400Nm__temperature_35degC,train,700.0,1400.0,35.0,True,True,True,True,none
speed_700rpm__torque_1500Nm__temperature_25degC,train,700.0,1500.0,25.0,True,True,True,True,none
speed_700rpm__torque_1500Nm__temperature_30degC,train,700.0,1500.0,30.0,True,True,False,True,none
speed_700rpm__torque_1500Nm__temperature_35degC,train,700.0,1500.0,35.0,True,True,True,True,none
speed_700rpm__torque_1600Nm__temperature_25degC,train,700.0,1600.0,25.0,True,True,True,True,none
speed_700rpm__torque_1700Nm__temperature_30degC,train,700.0,1700.0,30.0,True,True,False,True,none
speed_700rpm__torque_1700Nm__temperature_35degC,train,700.0,1700.0,35.0,True,True,True,True,none
speed_800rpm__torque_0Nm__temperature_25degC,train,800.0,0.0,25.0,True,True,True,True,none
