condition_id,split,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,source_path,source_row_count,finite_value_pass,forward_mean_te_deg,backward_mean_te_deg,signed_mean_gap_deg,absolute_mean_gap_deg,absolute_mean_gap_arcmin,raw_pair_rmse_deg,centered_pair_rmse_deg,centered_pair_correlation,forward_peak_to_peak_deg,backward_peak_to_peak_deg,peak_to_peak_difference_deg,slope_pair_rmse_deg_per_deg,gap_zero_crossing_count,target_derived_best_shift_deg,target_derived_aligned_centered_rmse_deg,harmonic_1_phase_gap_rad,harmonic_3_phase_gap_rad,harmonic_39_phase_gap_rad,harmonic_40_phase_gap_rad,harmonic_78_phase_gap_rad,harmonic_81_phase_gap_rad,offline_gap_proxy_only
speed_100rpm__torque_500Nm__temperature_25degC,train,100.0,500.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm500.0Nm25.0deg.csv,194400,True,-0.040189131453903834,0.010252461929626321,-0.05044159338353016,0.05044159338353016,3.0264956030118095,0.050456553253589574,0.0012285858386484475,0.9949048270202059,0.03966223622471767,0.03864885376584983,0.0010133824588678397,0.0036819378910711194,0,0.87890625,0.0010660269135934844,0.019809362316752857,0.0662435999251989,0.47704849571766306,1.2574418853322693,1.0037435758851947,2.0195193012004653,True
speed_100rpm__torque_600Nm__temperature_30degC,train,100.0,600.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm600.0Nm30.0deg.csv,194400,True,-0.04514683965047846,0.017405248222439974,-0.06255208787291844,0.06255208787291844,3.7531252723751063,0.06256973500922919,0.0014859481363262684,0.9925378266842232,0.04065185766652406,0.03874004639605244,0.0019118112704716167,0.0035211297176306637,0,0.87890625,0.001281189544187348,0.017097346146693775,0.16361357244988461,0.8464795216903083,0.10769392579803341,1.7055577190688083,2.699737981088246,True
speed_100rpm__torque_700Nm__temperature_25degC,train,100.0,700.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm700.0Nm25.0deg.csv,194401,True,-0.0543744574593257,0.011946578964414149,-0.06632103642373985,0.06632103642373985,3.979262185424391,0.06633615604712753,0.0014162368410079215,0.9931709841024947,0.04011799105785639,0.038970815086151175,0.0011471759717052166,0.0036807319518874573,0,0.703125,0.0012451044965108799,0.018178486266994854,0.2640935656426744,0.8527418326759515,1.312415836043102,1.0325734846161008,2.3552628202314296,True
speed_100rpm__torque_700Nm__temperature_30degC,train,100.0,700.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm700.0Nm30.0deg.csv,194400,True,-0.049789660201736,0.020654606561926674,-0.07044426676366268,0.07044426676366268,4.226656005819761,0.07046331272311893,0.0016382063502444848,0.990873433473972,0.040994524678871325,0.03971929422847738,0.0012752304503939466,0.0038652963851901648,0,0.87890625,0.001390515917216608,0.01562689950994726,0.26289652099641225,1.110487671023609,0.06771261549649626,1.600816803245857,2.760672844704466,True
speed_100rpm__torque_700Nm__temperature_35degC,train,100.0,700.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm700.0Nm35.0deg.csv,194401,True,-0.049239717106544637,0.02130135311981693,-0.07054107022636157,0.07054107022636157,4.232464213581694,0.07056420590028872,0.0018068109081658536,0.9889750583694736,0.04127249284181529,0.03885347080420245,0.0024190220376128432,0.0038542034134060607,0,0.87890625,0.0014866780464114946,0.01071794008330455,0.27659768750690317,1.2038447384336608,0.10701708671983845,1.8628582103970084,2.8587254934097563,True
speed_100rpm__torque_800Nm__temperature_30degC,train,100.0,800.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm800.0Nm30.0deg.csv,194400,True,-0.0534415750533825,0.02457812492717459,-0.07801969998055709,0.07801969998055709,4.681181998833425,0.07803924870890262,0.0017466407741200138,0.9896608055482865,0.041491315581795044,0.03937844908957655,0.002112866492218493,0.0038867658172286232,0,0.87890625,0.0014676961982019075,0.017403862598017183,0.29060035627627645,1.2489896597850325,0.380867726277131,1.4835131264739778,2.70239141130279,True
speed_100rpm__torque_900Nm__temperature_25degC,train,100.0,900.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm900.0Nm25.0deg.csv,194400,True,-0.06083883914621577,0.020372439591628946,-0.08121127873784471,0.08121127873784471,4.872676724270683,0.08122806439789904,0.00165125757933843,0.9907823786117648,0.040870104912782076,0.04005646903003664,0.0008136358827454393,0.004298269836340293,0,0.703125,0.0014038805916176656,0.01939385247265595,0.4489584647484546,1.1968392879285061,0.7229324101966769,0.9544735838922567,2.4958030754377374,True
speed_100rpm__torque_1000Nm__temperature_25degC,train,100.0,1000.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1000.0Nm25.0deg.csv,194400,True,-0.05922861847358821,0.030386621005453064,-0.08961523947904126,0.08961523947904126,5.376914368742476,0.08963262747314533,0.0017654350324296786,0.9894134862113636,0.04197265476521722,0.04044297240625194,0.0015296823589652786,0.0046822555389334376,0,0.703125,0.0014858970484432324,0.021202162912670342,0.4753224308782764,1.3348907788672169,0.21971371960803118,0.9152935853399868,2.7201912132177712,True
speed_100rpm__torque_1000Nm__temperature_35degC,train,100.0,1000.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm1000.0Nm35.0deg.csv,194401,True,-0.06006074155718364,0.032782900525881294,-0.09284364208306493,0.09284364208306493,5.570618524983896,0.09287003248777298,0.0022138335600817745,0.9834362504712544,0.04261754236992007,0.040469939363764196,0.0021476030061558724,0.004669918995278922,0,0.87890625,0.001683262333116352,0.020775598034754424,0.4897252941781052,1.6204317398709147,0.29762493475291185,1.5452804900416155,2.921779214770165,True
speed_100rpm__torque_1100Nm__temperature_35degC,train,100.0,1100.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm1100.0Nm35.0deg.csv,194400,True,-0.06366194154499495,0.036713769431169926,-0.10037571097616488,0.10037571097616488,6.0225426585698925,0.10040411573610836,0.0023881169944661483,0.980878470683661,0.04347243737186743,0.04067767992543298,0.002794757446434447,0.005001127142773951,0,0.87890625,0.0018410388030579109,0.019105661469495362,0.5929611013801406,1.8364374579880471,0.5997163914771358,1.4656212798296675,2.969800329429683,True
speed_100rpm__torque_1200Nm__temperature_25degC,train,100.0,1200.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1200.0Nm25.0deg.csv,194400,True,-0.06658414599194182,0.03819560595154368,-0.10477975194348549,0.10477975194348549,6.2867851166091295,0.1048010563210723,0.00211305198095446,0.9848894342866027,0.041786759926997215,0.04136734320383394,0.0004194167231632781,0.0053919404792564865,0,0.703125,0.001694517842312371,0.02664462952248758,0.6493952484536474,1.6036752792294462,0.36159076171613685,0.9365613742238066,2.8495261137730763,True
speed_100rpm__torque_1200Nm__temperature_30degC,train,100.0,1200.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm1200.0Nm30.0deg.csv,194400,True,-0.06890001037126994,0.03927392371083667,-0.10817393408210661,0.10817393408210661,6.490436044926397,0.10819903273872837,0.0023303799682599315,0.9815876726392359,0.04291510234011338,0.04134057198683108,0.0015745303532822968,0.004979605259148063,0,-3.69140625,0.0018362670253151785,0.0185216683168786,0.6951095698051746,1.9049883548184654,0.6036016072735386,1.248610719547917,3.0371659852179302,True
speed_100rpm__torque_1300Nm__temperature_25degC,train,100.0,1300.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1300.0Nm25.0deg.csv,194400,True,-0.07036792674172151,0.04198710857876602,-0.11235503532048755,0.11235503532048755,6.741302119229252,0.11237648974616946,0.002195788196281001,0.9836976183974894,0.04345670533482065,0.041905463323239085,0.0015512420115815634,0.005367067675649561,0,0.703125,0.0017655843017545573,0.026496325079100685,0.6449499430440846,1.8351684044986922,0.5710108620626131,0.9140257766090547,2.7004238517475443,True
speed_100rpm__torque_1300Nm__temperature_30degC,train,100.0,1300.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm1300.0Nm30.0deg.csv,194400,True,-0.07224681118708116,0.04341137425375073,-0.1156581854408319,0.1156581854408319,6.939491126449914,0.11568461472181085,0.002472695668285244,0.9792848116496028,0.043918498295324425,0.041657120856747956,0.0022613774385764687,0.005454915909227356,0,-3.69140625,0.0018800637583181138,0.016076036909941152,0.7319679674046331,1.8990265838833063,0.6377013537352744,1.2026759140575634,3.036222917768937,True
speed_100rpm__torque_1300Nm__temperature_35degC,train,100.0,1300.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm1300.0Nm35.0deg.csv,194401,True,-0.07025334192078671,0.04317622288565638,-0.11342956480644309,0.11342956480644309,6.805773888386585,0.11345772432643135,0.002527654476668051,0.9786030143159442,0.04406316652766388,0.04191688151666988,0.002146285010994002,0.005551990810584723,0,5.2734375,0.0018982621859603146,0.03132906479557484,0.793729730935046,1.9290625325794881,0.7009531966214224,1.2190921801702275,2.8623564195088633,True
speed_100rpm__torque_1400Nm__temperature_25degC,train,100.0,1400.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1400.0Nm25.0deg.csv,194401,True,-0.07660958710133897,0.04205980484784406,-0.11866939194918302,0.11866939194918302,7.120163516950981,0.11869338177030517,0.0023862712508401496,0.9808579176218426,0.04271497661745294,0.04243178947322289,0.00028318714423004876,0.005889006639759255,0,5.2734375,0.0018499856106375867,0.02909576339449346,0.7146824757487359,1.9627623859199774,0.5687343495950571,0.8740080487476128,2.6629629154180283,True
speed_100rpm__torque_1400Nm__temperature_30degC,train,100.0,1400.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm1400.0Nm30.0deg.csv,194401,True,-0.0756788608609579,0.047461573149586087,-0.12314043401054399,0.12314043401054399,7.388426040632639,0.12316715771059972,0.002565589640337106,0.9778323521090209,0.04385995795911785,0.04277277953168928,0.0010871784274285728,0.005420686744627844,0,-3.69140625,0.0019751712767145132,0.022081233766823145,0.8592347102067044,2.0178452506276727,0.7935175366024749,1.1331757536410856,3.1026896229845082,True
speed_100rpm__torque_1400Nm__temperature_35degC,train,100.0,1400.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm1400.0Nm35.0deg.csv,194401,True,-0.08179974678570848,0.03976706916056782,-0.1215668159462763,0.1215668159462763,7.294008956776578,0.12159745459689952,0.002729510052962932,0.9749729556521208,0.044622723874845144,0.04325851761655123,0.0013642062582939138,0.0056903847916358885,0,5.2734375,0.0019743259809252302,0.027506129407163567,0.8140555590154457,2.0415734923307647,0.8820356980550103,1.2118161616170373,2.988224137625741,True
speed_100rpm__torque_1500Nm__temperature_25degC,train,100.0,1500.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1500.0Nm25.0deg.csv,194400,True,-0.0778894844122385,0.04937948227828619,-0.12726896669052468,0.12726896669052468,7.636138001431481,0.12729421712930192,0.002535316960062757,0.9783637336671362,0.04362818268739544,0.04289449490128636,0.0007336877861090774,0.006136428527005433,0,5.09765625,0.0019152256327240854,0.027567621008611314,0.790875709092802,2.0362873005920563,1.2129603270106937,0.892739115924742,2.697532421888029,True
speed_100rpm__torque_1500Nm__temperature_30degC,train,100.0,1500.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm1500.0Nm30.0deg.csv,194400,True,-0.07952928844155108,0.0512344213770676,-0.13076370981861868,0.13076370981861868,7.8458225891171205,0.13079273290258173,0.002755208630607994,0.9743879434709333,0.04434299274286493,0.04332445124194574,0.0010185415009191859,0.006110852566850876,0,-3.69140625,0.001951677633021325,0.02147438671311634,0.8207764117429792,2.053144066487408,1.0069551289051417,1.1065408601297455,3.0189418831271464,True
speed_100rpm__torque_1500Nm__temperature_35degC,train,100.0,1500.0,35.0,data/simplified_dataset/Test_35degree/100rpm/100.0rpm1500.0Nm35.0deg.csv,194401,True,-0.07861785996840616,0.051250704381109374,-0.12986856434951555,0.12986856434951555,7.792113860970932,0.12990035972426978,0.0028739259368379183,0.9723214650575303,0.045194259424290444,0.04341128411176915,0.0017829753125212927,0.006064538094420994,0,-3.69140625,0.00201563314418455,0.02011136858151172,0.8786016190817121,2.050428679986771,0.777769210908001,1.1786397618130522,3.0605618021578054,True
speed_100rpm__torque_1600Nm__temperature_25degC,train,100.0,1600.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1600.0Nm25.0deg.csv,194400,True,-0.08208744533973167,0.05264893370359765,-0.1347363790433293,0.1347363790433293,8.084182742599758,0.13476294781550582,0.0026758673765782015,0.9759931606227735,0.043868135481146465,0.043449912589006094,0.00041822289214037134,0.0064993869691661165,0,5.09765625,0.001988324674017424,0.032985129278411164,0.8025776381298425,2.069635954579242,0.9613463991950657,0.8750599267626864,2.9036305494867727,True
speed_100rpm__torque_1700Nm__temperature_25degC,train,100.0,1700.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1700.0Nm25.0deg.csv,194400,True,-0.08566267713207334,0.05654385963523265,-0.142206536767306,0.142206536767306,8.53239220603836,0.14223546192564268,0.0028683671051314393,0.9724958924180814,0.04520733559216236,0.04416321731208785,0.0010441182800745089,0.007045075769488906,0,5.2734375,0.002092435057675219,0.034213283273467184,0.9083834052942117,2.3742533050054826,0.7148110543707454,0.845884007088894,2.847662144721256,True
speed_100rpm__torque_1700Nm__temperature_30degC,train,100.0,1700.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm1700.0Nm30.0deg.csv,194401,True,-0.08743991993565509,0.058276856360880716,-0.1457167762965358,0.1457167762965358,8.743006577792148,0.14574767904477914,0.0030011752173590943,0.9699704236618688,0.04562110899191352,0.04354376447849762,0.002077344513415895,0.006304495182831348,0,-3.8671875,0.0020684595824215423,0.014584394137555938,0.936209575804674,2.1676828553336462,1.00391457954411,1.0221868286179459,3.0889335541073284,True
speed_100rpm__torque_1800Nm__temperature_25degC,train,100.0,1800.0,25.0,data/simplified_dataset/Test_25degree/100rpm/100.0rpm1800.0Nm25.0deg.csv,194400,True,-0.09105229554944515,0.05864436977531478,-0.14969666532475992,0.14969666532475992,8.981799919485596,0.1497264685228609,0.0029872674761517067,0.9701841155375132,0.04541853672156783,0.044521335531900776,0.0008972011896670531,0.007302328356235505,0,5.09765625,0.0020576351621270027,0.03640353807626501,0.9118573755138112,2.4033968133965717,1.0813485676747203,0.827733408354729,2.62751793798882,True
speed_100rpm__torque_1800Nm__temperature_30degC,train,100.0,1800.0,30.0,data/simplified_dataset/Test_30degree/100rpm/100.0rpm1800.0Nm30.0deg.csv,194401,True,-0.09117728801434942,0.0617683926454789,-0.15294568065982833,0.15294568065982833,9.1767408395897,0.15298017467100022,0.003248478085435949,0.9645721131005185,0.04679895527006521,0.043793330031673065,0.003005625238392144,0.006836333311105212,0,-3.8671875,0.002127836270819518,0.02708484004016448,1.0462738257714035,2.5113395152271685,1.1178864644746394,0.9942750601781876,2.9801318823766065,True
speed_200rpm__torque_0Nm__temperature_25degC,train,200.0,0.0,25.0,data/simplified_dataset/Test_25degree/200rpm/200.0rpm0.0Nm25.0deg.csv,97200,True,-0.025518746261189662,-0.0174030339591186,-0.008115712302071063,0.008115712302071063,0.4869427381242638,0.00817301646899705,0.0009661325129139276,0.9972927273697877,0.03773872137740504,0.039220122307845544,-0.0014814009304405032,0.0015395736141923235,0,0.17578125,0.00095761611496412,0.01792011354155145,0.14799969015677217,0.3379075779759364,0.04224111966184291,0.9353250023015027,1.4276050010663202,True
speed_200rpm__torque_0Nm__temperature_30degC,train,200.0,0.0,30.0,data/simplified_dataset/Test_30degree/200rpm/200.0rpm0.0Nm30.0deg.csv,97200,True,-0.024661745624950812,-0.017914111196382587,-0.006747634428568225,0.006747634428568225,0.4048580657140935,0.006839566387809292,0.0011176305255545965,0.9964724445473272,0.038330511964693365,0.03954522957535685,-0.0012147176106634822,0.0017216250467565139,0,0.17578125,0.0011160023757135382,0.014432668689718977,0.10918563916070377,0.4681030858291697,0.01503411981605074,2.8723643919526234,1.1857751092590016,True
speed_200rpm__torque_0Nm__temperature_35degC,train,200.0,0.0,35.0,data/simplified_dataset/Test_35degree/200rpm/200.0rpm0.0Nm35.0deg.csv,97200,True,-0.02484757613931847,-0.018287640431600864,-0.006559935707717606,0.006559935707717606,0.39359614246305635,0.0066722708146349785,0.0012191970039502275,0.9958607450256008,0.03831696194483954,0.03956704021514977,-0.0012500782703102342,0.0019302550298892654,0,0.17578125,0.001212282918963078,0.01432057583327263,0.12087359418843648,0.36607583294844503,0.27906205443040116,0.0349579732588976,1.4768629885006503,True
speed_200rpm__torque_100Nm__temperature_25degC,train,200.0,100.0,25.0,data/simplified_dataset/Test_25degree/200rpm/200.0rpm100.0Nm25.0deg.csv,97200,True,-0.02492336404173092,-0.005239312227782461,-0.019684051813948458,0.019684051813948458,1.1810431088369076,0.0197110857424579,0.001031990955541419,0.9964542531731787,0.03922675116190905,0.03756563069215651,0.0016611204697525445,0.0037623855085075846,0,0.17578125,0.0008583471183321684,0.01764212021809525,0.015414659480850633,0.11946600071505942,0.09418487228018821,2.865689528695625,1.3695496650986785,True
speed_200rpm__torque_100Nm__temperature_35degC,train,200.0,100.0,35.0,data/simplified_dataset/Test_35degree/200rpm/200.0rpm100.0Nm35.0deg.csv,97200,True,-0.031859872355549566,-0.011505861458901909,-0.020354010896647658,0.020354010896647658,1.2212406537988594,0.020404498255166107,0.001434499726115356,0.9931494877180098,0.03958300324250753,0.03810898960587801,0.0014740136366295231,0.005456803038578954,0,1.23046875,0.001087010297039711,0.020467561113747444,0.030021141492446283,0.005068623424826502,0.23011850320926183,2.5001187967595104,1.9859478447100471,True
speed_200rpm__torque_200Nm__temperature_25degC,train,200.0,200.0,25.0,data/simplified_dataset/Test_25degree/200rpm/200.0rpm200.0Nm25.0deg.csv,97200,True,-0.03495662956920662,-0.0072559461346813105,-0.027700683434525312,0.027700683434525312,1.6620410060715187,0.027720617517691417,0.0010510817391408004,0.9963314669924241,0.0393125881860931,0.03856436729113621,0.0007482208949568941,0.0035744725936465585,0,1.0546875,0.0009838419512836975,0.014806860969564864,0.02961183361931541,0.141018842861804,1.0764914774205252,1.5824710020567465,1.7009437463501218,True
speed_200rpm__torque_200Nm__temperature_35degC,train,200.0,200.0,35.0,data/simplified_dataset/Test_35degree/200rpm/200.0rpm200.0Nm35.0deg.csv,97200,True,-0.028656360798564918,0.0009856274404777027,-0.02964198823904262,0.02964198823904262,1.7785192943425572,0.029664775177160107,0.001162505719518587,0.9954753994967318,0.03974028200512984,0.03838659259119458,0.0013536894139352662,0.003358228561182177,0,0.703125,0.0010943342551614922,0.019958146565164883,0.009273074047303265,0.24132953432459958,0.11456877890902825,3.008848538462201,2.1635183306926704,True
speed_200rpm__torque_300Nm__temperature_30degC,train,200.0,300.0,30.0,data/simplified_dataset/Test_30degree/200rpm/200.0rpm300.0Nm30.0deg.csv,97200,True,-0.0334452064450414,0.004719087379265299,-0.038164293824306694,0.038164293824306694,2.2898576294584014,0.03818465579879761,0.0012468421570646095,0.9948119083679506,0.039464550087187446,0.03821349758670707,0.001251052500480375,0.004221007230412267,0,-0.17578125,0.0012202614600497447,0.013765380194016073,0.03898742826319679,0.28126034310769454,0.02256010747861864,2.0974148324733104,2.1338132855825327,True
speed_200rpm__torque_300Nm__temperature_35degC,train,200.0,300.0,35.0,data/simplified_dataset/Test_35degree/200rpm/200.0rpm300.0Nm35.0deg.csv,97200,True,-0.03718454376420566,0.0012006501254030505,-0.03838519388960871,0.03838519388960871,2.3031116333765227,0.038406412521057275,0.0012764845454494866,0.9945548831468085,0.041555016020114244,0.03829396454515476,0.0032610514749594824,0.003469447735504776,0,-0.52734375,0.0012561914280607778,0.016927999458526036,0.04404225475957935,0.40455057099077973,0.0011271492812404693,2.855283205674027,2.3570835643700123,True
speed_200rpm__torque_400Nm__temperature_25degC,train,200.0,400.0,25.0,data/simplified_dataset/Test_25degree/200rpm/200.0rpm400.0Nm25.0deg.csv,97200,True,-0.043432079235855764,0.0007067001662652245,-0.044138779402120985,0.044138779402120985,2.648326764127259,0.044158934301018145,0.0013340282952533239,0.9940456421236307,0.0402076854116621,0.038861899900228855,0.001345785511433245,0.004829290774991973,0,0.87890625,0.001065144929810769,0.01523920944603981,0.008339042961928778,0.4182003895472908,1.036243224136227,1.1257643359167224,2.0040602155074807,True
speed_200rpm__torque_400Nm__temperature_30degC,train,200.0,400.0,30.0,data/simplified_dataset/Test_30degree/200rpm/200.0rpm400.0Nm30.0deg.csv,97200,True,-0.037103783678696836,0.00910480276404502,-0.04620858644274185,0.04620858644274185,2.7725151865645112,0.046226219613399136,0.0012766826974075444,0.9945318579808021,0.04014548882328699,0.038738079650047476,0.0014074091732395114,0.0039135091559374495,0,0.87890625,0.0011378469521118794,0.01529147145421261,0.01191249757912627,0.4489730448884728,0.03918064121490958,1.8435601141672062,2.2331380473433002,True
speed_200rpm__torque_400Nm__temperature_35degC,train,200.0,400.0,35.0,data/simplified_dataset/Test_35degree/200rpm/200.0rpm400.0Nm35.0deg.csv,97200,True,-0.04528088632029409,0.0025529491385915207,-0.04783383545888561,0.04783383545888561,2.8700301275331364,0.04785565183092699,0.001444852053036127,0.9929716137668749,0.040632948885078735,0.03808965025216842,0.002543298632910314,0.004074488014033255,0,0.703125,0.0012849291274767587,0.012516278529118546,0.012016710076558468,0.5905128153270385,0.0011121504845492125,2.4828612154414946,2.5223998304519313,True
