condition_id,split,direction,input_speed_rpm,output_torque_nm,oil_temperature_deg_c,source_path,source_size_bytes,source_sha256
speed_100rpm__torque_500Nm__temperature_25degC,train,Fw,100.0,500.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm500.0Nm25.0deg.csv,18375007,4ca1dfbcdcc90cdee1677eae8d3baa107efdfdbef4f0687da9583413494edd3e
speed_100rpm__torque_600Nm__temperature_30degC,train,Fw,100.0,600.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm600.0Nm30.0deg.csv,18323919,5ea1dbfc59b12da4a095dd584aa37df69322aa462c4289f67e49e58f72c930f5
speed_100rpm__torque_700Nm__temperature_25degC,train,Fw,100.0,700.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm700.0Nm25.0deg.csv,18415745,74ae459ddce15c729ecfcbaa73a1fab6174525e19899ed2f4461a74f73e933ea
speed_100rpm__torque_700Nm__temperature_30degC,train,Fw,100.0,700.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm700.0Nm30.0deg.csv,18287173,813ee773efb7b2169a15998196672a7ccdac234684544454a5e0956269bb1fc8
speed_100rpm__torque_700Nm__temperature_35degC,train,Fw,100.0,700.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm700.0Nm35.0deg.csv,18842396,416c6b87e6055ee3fda9f9dd614a83cfcfc126243eadc09797a782c1eb3e0907
speed_100rpm__torque_800Nm__temperature_30degC,train,Fw,100.0,800.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm800.0Nm30.0deg.csv,18301389,5fa0e240dfbac5f494411a1070c07f1a9443155cae08e47e50921ecdcfa5a0dd
speed_100rpm__torque_900Nm__temperature_25degC,train,Fw,100.0,900.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm900.0Nm25.0deg.csv,18454370,1ca9faa688ec083c78dc6d1ff9c1bdf00b00e845399cb1fe1700b5bddeb84573
speed_100rpm__torque_1000Nm__temperature_25degC,train,Fw,100.0,1000.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1000.0Nm25.0deg.csv,18183296,9f4ba55a3d216b2f0737991552acbf5fa1414b219d644a0f9a401ed22886d8b3
speed_100rpm__torque_1000Nm__temperature_35degC,train,Fw,100.0,1000.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm1000.0Nm35.0deg.csv,18617057,8477afab8c2d53ec28b996ff042ec898b45996daf66a976c68bcf744280f7d0c
speed_100rpm__torque_1100Nm__temperature_35degC,train,Fw,100.0,1100.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm1100.0Nm35.0deg.csv,18537389,5a645e46941432f140f9d60e8745eff07dd4e96c11cdead8e631ede57e556b3c
speed_100rpm__torque_1200Nm__temperature_25degC,train,Fw,100.0,1200.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1200.0Nm25.0deg.csv,18317195,66ac085ea9ab8009e24f0ab733cc6054cf540dcfa59921c4d7a0608b26921a8f
speed_100rpm__torque_1200Nm__temperature_30degC,train,Fw,100.0,1200.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm1200.0Nm30.0deg.csv,18421122,dc3f7df18eb8f27854e5a7da304c67da316178380bbe9c4e40b57585c291e676
speed_100rpm__torque_1300Nm__temperature_25degC,train,Fw,100.0,1300.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1300.0Nm25.0deg.csv,18287248,41dd68cdbab44935ba98e8b5fbc57bb8e3928571928d272da6d36eb8ae41cfcd
speed_100rpm__torque_1300Nm__temperature_30degC,train,Fw,100.0,1300.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm1300.0Nm30.0deg.csv,18344590,9182e359301271b576398eed4941d1fd99f02456603962ef047626394e7c725d
speed_100rpm__torque_1300Nm__temperature_35degC,train,Fw,100.0,1300.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm1300.0Nm35.0deg.csv,18629196,8fedd225fcd71a165a93018bd00018db834daf0211f5907a8649c3a34b165e00
speed_100rpm__torque_1400Nm__temperature_25degC,train,Fw,100.0,1400.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1400.0Nm25.0deg.csv,18282341,b94f53023537398691092200090b5c62a6c4273afdcb8595307b1c07b5e95296
speed_100rpm__torque_1400Nm__temperature_30degC,train,Fw,100.0,1400.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm1400.0Nm30.0deg.csv,18278221,27310447868e5d6fdc398ff808ae5c1d728caff65f40fcc778af734ab7a7d80b
speed_100rpm__torque_1400Nm__temperature_35degC,train,Fw,100.0,1400.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm1400.0Nm35.0deg.csv,18561989,5331b1e09f18f644052f8fec21b69cf6955b75a8df7840ba012b2263db966746
speed_100rpm__torque_1500Nm__temperature_25degC,train,Fw,100.0,1500.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1500.0Nm25.0deg.csv,18346011,2cb79c423b7f1fed54e702692325b80d25dba5f8cd08abc3b7683aedaa55f15a
speed_100rpm__torque_1500Nm__temperature_30degC,train,Fw,100.0,1500.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm1500.0Nm30.0deg.csv,18102040,c443d159a04575dbd8c1f8b527d0a28d1e3055cdd5ac580a3fba5a7759677513
speed_100rpm__torque_1500Nm__temperature_35degC,train,Fw,100.0,1500.0,35.0,data/polished_dataset/forward/35degree/100rpm/100.0rpm1500.0Nm35.0deg.csv,18533465,b5f442757aafdd5bca64161f3ef31c241f7bc4d2174ec114201bad603fa02918
speed_100rpm__torque_1600Nm__temperature_25degC,train,Fw,100.0,1600.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1600.0Nm25.0deg.csv,18388189,115c163cc03869ba9beb42cbfdd1734ee53b0f81ca418dbe04b8c8f124bdc3ab
speed_100rpm__torque_1700Nm__temperature_25degC,train,Fw,100.0,1700.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1700.0Nm25.0deg.csv,18347296,c46a2c710e6ac59c0c59db877ecbbe76ff3e187faa9f00c6c3f1166d3b112eaf
speed_100rpm__torque_1700Nm__temperature_30degC,train,Fw,100.0,1700.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm1700.0Nm30.0deg.csv,18405649,fe946ad511ec8ea65ef69bdf6b1cb3f675c60d3069e28bbc5d2642e50307aed3
speed_100rpm__torque_1800Nm__temperature_25degC,train,Fw,100.0,1800.0,25.0,data/polished_dataset/forward/25degree/100rpm/100.0rpm1800.0Nm25.0deg.csv,18302292,02b351479a4ba3d1b08eabc49fd2cc7462fff80f16c21e41479a699a9a2280bc
speed_100rpm__torque_1800Nm__temperature_30degC,train,Fw,100.0,1800.0,30.0,data/polished_dataset/forward/30degree/100rpm/100.0rpm1800.0Nm30.0deg.csv,18161219,097acac5cdca9a3707270cb836e05382286a5387fe00c9e49718c200734c0c71
speed_200rpm__torque_0Nm__temperature_25degC,train,Fw,200.0,0.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm0.0Nm25.0deg.csv,9179399,fa1b5856221357a4077838125eda70ba55203026faccc723af1602e6a14643a5
speed_200rpm__torque_0Nm__temperature_30degC,train,Fw,200.0,0.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm0.0Nm30.0deg.csv,9166915,0c224ffb206d5b6a2705333dbfdabc3e9a1bdd86b73d00d9a39bb73f9604ab09
speed_200rpm__torque_0Nm__temperature_35degC,train,Fw,200.0,0.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm0.0Nm35.0deg.csv,9376070,01341c1c66f184d6c1ef4745a3176ad551960052a56b0719a5a4d3c8a6a2cdde
speed_200rpm__torque_100Nm__temperature_25degC,train,Fw,200.0,100.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm100.0Nm25.0deg.csv,9085768,1b44d9a89a933a8e4ae92fbbb5f55c4f297f595acbd7b824b6dda9456faa0999
speed_200rpm__torque_100Nm__temperature_35degC,train,Fw,200.0,100.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm100.0Nm35.0deg.csv,9370814,38f681ae547dbf9adbb5e88fa1fb12d7435a047fe3935f2ee2e382c98ea4477d
speed_200rpm__torque_200Nm__temperature_25degC,train,Fw,200.0,200.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm200.0Nm25.0deg.csv,9156826,9956a74675e380790f3f3e0239fb0ad4afc86c88a52733932f453a6f95147e25
speed_200rpm__torque_200Nm__temperature_35degC,train,Fw,200.0,200.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm200.0Nm35.0deg.csv,9292178,aa007646fcf2b9e84de37ec5d064888affa3e3bf1c1ac3a0f177d303f111a5bf
speed_200rpm__torque_300Nm__temperature_30degC,train,Fw,200.0,300.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm300.0Nm30.0deg.csv,9169381,7d70f401f6bb424246cee4a50fc222fc3856210ce0b4f68cfc8add085bba66a5
speed_200rpm__torque_300Nm__temperature_35degC,train,Fw,200.0,300.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm300.0Nm35.0deg.csv,9409935,ea912805430974639cadd7460693cef8136fb35164431dca01033c7c996780dc
speed_200rpm__torque_400Nm__temperature_25degC,train,Fw,200.0,400.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm400.0Nm25.0deg.csv,9177634,b123076371ec5cf502643673d91b37eb1719937a3709fdbd1776e8e65f32d67c
speed_200rpm__torque_400Nm__temperature_30degC,train,Fw,200.0,400.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm400.0Nm30.0deg.csv,9215200,ca45b25b32937595047b9fd542ebc9f95b18a5776749e1863e3d5f4d2baf6356
speed_200rpm__torque_400Nm__temperature_35degC,train,Fw,200.0,400.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm400.0Nm35.0deg.csv,9331769,175486b36e92452cc706bad66676f63c01bf5c598e5557e9c75d022b3d4da10f
speed_200rpm__torque_500Nm__temperature_25degC,train,Fw,200.0,500.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm500.0Nm25.0deg.csv,9173827,7f2276c86480b2d9cc43275daa9544dba8dc663cd4e3b9b8ef597c480848f9f0
speed_200rpm__torque_500Nm__temperature_30degC,train,Fw,200.0,500.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm500.0Nm30.0deg.csv,9170601,29f88bca449aa85424f34fd2a39c2cff224f03cc5a91eb4d60e983af1d2014d0
speed_200rpm__torque_500Nm__temperature_35degC,train,Fw,200.0,500.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm500.0Nm35.0deg.csv,9320256,8ff38dca94cf01da1ccb89b5d6bb27c6ebeb172f20cff384b17999cf1269eff7
speed_200rpm__torque_600Nm__temperature_25degC,train,Fw,200.0,600.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm600.0Nm25.0deg.csv,9239477,cf7a94d42a049e057650cf4d33fe11e5627bb86929a80e653514702603d54484
speed_200rpm__torque_600Nm__temperature_35degC,train,Fw,200.0,600.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm600.0Nm35.0deg.csv,9372185,cadf65866b7404579bc0192673725d60f225ac8225a3eb5e4e585799d9d9cc20
speed_200rpm__torque_700Nm__temperature_25degC,train,Fw,200.0,700.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm700.0Nm25.0deg.csv,9174684,c5e2838061e0259145737bb5bc8975bee2410cfab6d82b30027348e82d18562e
speed_200rpm__torque_700Nm__temperature_35degC,train,Fw,200.0,700.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm700.0Nm35.0deg.csv,9380255,2e8ee92377c6a05990f2e0af1712ec3daeadff67f529244fb74267aa41f52f12
speed_200rpm__torque_800Nm__temperature_25degC,train,Fw,200.0,800.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm800.0Nm25.0deg.csv,9214048,1c18f33f12fdbfc0a28cda1b21e87149978f6d7c9d0cbdcbac631ab01029fbaa
speed_200rpm__torque_800Nm__temperature_30degC,train,Fw,200.0,800.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm800.0Nm30.0deg.csv,9173345,095176ac6f6e1cc7a3ecc8faef9438b13eab246f31a8fd72c3eb177fa48e6ea1
speed_200rpm__torque_800Nm__temperature_35degC,train,Fw,200.0,800.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm800.0Nm35.0deg.csv,9360991,7f8cde38adf0e20715b631c5bcdf5a318e1103504f90ab59be33828af7b07017
speed_200rpm__torque_900Nm__temperature_35degC,train,Fw,200.0,900.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm900.0Nm35.0deg.csv,9384047,77e11870f04152b31fedc613b6e7f01df628c51173ffe32818e3d8487f515045
speed_200rpm__torque_1000Nm__temperature_25degC,train,Fw,200.0,1000.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1000.0Nm25.0deg.csv,9169359,a0541d5909fca9bd1aedb9d0385e6d1b0d0b67bd797876f9f185580891528934
speed_200rpm__torque_1000Nm__temperature_35degC,train,Fw,200.0,1000.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1000.0Nm35.0deg.csv,9261116,5594c4722d67598a4a04023b569515793f6db8282fabb1ea07470ab923563ec4
speed_200rpm__torque_1100Nm__temperature_25degC,train,Fw,200.0,1100.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1100.0Nm25.0deg.csv,9096128,68ce2fe49e3d8c26b8dc0539ac3dee8ff3df1539644b02be9b9ee0062e09444d
speed_200rpm__torque_1100Nm__temperature_30degC,train,Fw,200.0,1100.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1100.0Nm30.0deg.csv,9119431,3032b8be61c6e151caa5a29071a6789b1232bfecb7c1d5d425fd5307d7546083
speed_200rpm__torque_1200Nm__temperature_25degC,train,Fw,200.0,1200.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1200.0Nm25.0deg.csv,9128035,49e4408488ad31479afc7894342201893d4e69355efeb1b671b83132d52182cc
speed_200rpm__torque_1200Nm__temperature_30degC,train,Fw,200.0,1200.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1200.0Nm30.0deg.csv,9212005,7355093c02a0e72317625cf2b3af12236293d6d258a300ee0a8fbeab19e87cb3
speed_200rpm__torque_1200Nm__temperature_35degC,train,Fw,200.0,1200.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1200.0Nm35.0deg.csv,9321761,e5a2433d0eb184d006f255ca9eef23a2fd830f484e4c641c51e3e8e9cd602f64
speed_200rpm__torque_1300Nm__temperature_25degC,train,Fw,200.0,1300.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1300.0Nm25.0deg.csv,9098874,7b65c3d06b195764bc80c3fe9761bafecd592eb7f8c8015e30d7355824c7a686
speed_200rpm__torque_1300Nm__temperature_30degC,train,Fw,200.0,1300.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1300.0Nm30.0deg.csv,9169816,87e9b41094e09e00fd107e2f50791004846611ed7d2282d5e0463e8eb3f24d9f
speed_200rpm__torque_1300Nm__temperature_35degC,train,Fw,200.0,1300.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1300.0Nm35.0deg.csv,9369595,907682aa0ecd6b6303ea63df510166b9fea94ba160fb88b17a33ebbf729d8662
speed_200rpm__torque_1400Nm__temperature_25degC,train,Fw,200.0,1400.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1400.0Nm25.0deg.csv,9147713,bcf39869b9442cace41dc007cd4e66a7f54829591bf41dc1ae5814c08590e970
speed_200rpm__torque_1400Nm__temperature_30degC,train,Fw,200.0,1400.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1400.0Nm30.0deg.csv,9163980,328ef0c98e8f5140d7b46e03277bb84300ee5bea99c74c7491374744cb454e88
speed_200rpm__torque_1400Nm__temperature_35degC,train,Fw,200.0,1400.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1400.0Nm35.0deg.csv,9275159,b2c3fbc552e96c4b1f37a42ee58cb631f061ed8c401bbd37929de6efae405537
speed_200rpm__torque_1500Nm__temperature_25degC,train,Fw,200.0,1500.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1500.0Nm25.0deg.csv,9165662,e17cdc22ccecb3b843f673f73affefed3164a03ccb5f16da21130cef8351345d
speed_200rpm__torque_1500Nm__temperature_30degC,train,Fw,200.0,1500.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1500.0Nm30.0deg.csv,9107754,fd85423ce8e1a06d127d381c1bd1082c20ea6c0c77a6f0b92ecceefa98243ed4
speed_200rpm__torque_1500Nm__temperature_35degC,train,Fw,200.0,1500.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1500.0Nm35.0deg.csv,9265386,ff4f33ff86d12885ddc0b7632ff78083d5b9d2c7e0bd9a28a6e6bca453970216
speed_200rpm__torque_1600Nm__temperature_25degC,train,Fw,200.0,1600.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1600.0Nm25.0deg.csv,9182337,faf92bac1caad1f2a3948ad06808543b2250e09272e5e2ba4887c2036ae616d5
speed_200rpm__torque_1600Nm__temperature_30degC,train,Fw,200.0,1600.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1600.0Nm30.0deg.csv,9089996,0608fea1ebad6af03de5a7237ab1a38202e87b49ca9199ed9834ac17b2656ef7
speed_200rpm__torque_1600Nm__temperature_35degC,train,Fw,200.0,1600.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1600.0Nm35.0deg.csv,9335479,b9577763d988eadc926181fcfe1a01bb213652a338279c4701c61a7089b92c82
speed_200rpm__torque_1700Nm__temperature_25degC,train,Fw,200.0,1700.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1700.0Nm25.0deg.csv,9079693,cc1f9cb32bc3aeb6f32d1d6034b8e03bfe7a188a2d523cc83e3cd5e13e3df703
speed_200rpm__torque_1700Nm__temperature_30degC,train,Fw,200.0,1700.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1700.0Nm30.0deg.csv,9153604,e692fd101b99353ade32ba8e512008d6394eafcb9bb4ed18cab2a91233e123b4
speed_200rpm__torque_1800Nm__temperature_25degC,train,Fw,200.0,1800.0,25.0,data/polished_dataset/forward/25degree/200rpm/200.0rpm1800.0Nm25.0deg.csv,9095871,207080eb70a84b757366f2adaffc76a1449a06f12d0f1756a3c544c02d2c67d0
speed_200rpm__torque_1800Nm__temperature_30degC,train,Fw,200.0,1800.0,30.0,data/polished_dataset/forward/30degree/200rpm/200.0rpm1800.0Nm30.0deg.csv,9039891,aa590dfe0a2cbfa570fca353021335057ed2c88f0baeae50134f38615211b275
speed_200rpm__torque_1800Nm__temperature_35degC,train,Fw,200.0,1800.0,35.0,data/polished_dataset/forward/35degree/200rpm/200.0rpm1800.0Nm35.0deg.csv,9230424,c604e7c9a425aa69055de4619547fea3b292babdc2fe3761c63d73083d9276fb
speed_300rpm__torque_0Nm__temperature_25degC,train,Fw,300.0,0.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm0.0Nm25.0deg.csv,6114170,57118e7c5e1571841e13520e7f6ec72499a79b7e2c457308105ab37c14be0fcf
speed_300rpm__torque_0Nm__temperature_30degC,train,Fw,300.0,0.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm0.0Nm30.0deg.csv,6138644,cfe5b2d970065a565194243f88cd5020807c9fb3bdafa6ce05e819a6d3e2592f
speed_300rpm__torque_0Nm__temperature_35degC,train,Fw,300.0,0.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm0.0Nm35.0deg.csv,6226481,3fc9e44550d16f3146fd0bd6a03f060b50de6f2e0db7a5962eabf84f55ad0c32
speed_300rpm__torque_100Nm__temperature_25degC,train,Fw,300.0,100.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm100.0Nm25.0deg.csv,6085549,0e16ea41ee68b0b2399bc4043292ee31a0f353f61f6bfdc69cc2c50c80003568
speed_300rpm__torque_100Nm__temperature_30degC,train,Fw,300.0,100.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm100.0Nm30.0deg.csv,6075713,662b3ef162b4a257520ff2b6d82943a9f8578febbba5dd0fdfda2bf5624227e3
speed_300rpm__torque_200Nm__temperature_25degC,train,Fw,300.0,200.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm200.0Nm25.0deg.csv,6111246,e9e06ed0fb7cd4aafaf90d623246cca7f5166f4ba0d4b230b5546998a59a78ae
speed_300rpm__torque_200Nm__temperature_35degC,train,Fw,300.0,200.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm200.0Nm35.0deg.csv,6251146,7476fa07baa9394f71388eec9c4bfa4475d7ff8fd58ffbf7e5fd6532a08055e0
speed_300rpm__torque_300Nm__temperature_25degC,train,Fw,300.0,300.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm300.0Nm25.0deg.csv,6155135,394d92f0a4475adbb492572f064dfc34dda37d50e44b8e1c1028d8f38f0bc4ff
speed_300rpm__torque_300Nm__temperature_30degC,train,Fw,300.0,300.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm300.0Nm30.0deg.csv,6116182,fd1243f4f4a6bddaa0fe01e42f3001d50fb7a9efa52708b6e768f69ef09e102a
speed_300rpm__torque_300Nm__temperature_35degC,train,Fw,300.0,300.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm300.0Nm35.0deg.csv,6261781,ebcc2d4bdfcd0286d047638e069a530deb4c32d2ba6bb58b9f28d31a3bf66183
speed_300rpm__torque_400Nm__temperature_25degC,train,Fw,300.0,400.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm400.0Nm25.0deg.csv,6119570,99709c29d0f9a7840a99079c27ee0d966f66e8fe2f6aba7dcbb1844bf19bba32
speed_300rpm__torque_400Nm__temperature_30degC,train,Fw,300.0,400.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm400.0Nm30.0deg.csv,6122099,d98ffb723811b6b13850ad521d57cb32cb27c603fa7941b94718fe94dc2ae80e
speed_300rpm__torque_400Nm__temperature_35degC,train,Fw,300.0,400.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm400.0Nm35.0deg.csv,6247416,40cb26f98b97b9b65b4d5a1aa292011e647919110f82f5e7f841f99b2a6e258e
speed_300rpm__torque_500Nm__temperature_30degC,train,Fw,300.0,500.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm500.0Nm30.0deg.csv,6152991,1909f7aa4d2a021e2b294ca1301c07aa4d67cee1e1958235ab326a69bf6c5207
speed_300rpm__torque_500Nm__temperature_35degC,train,Fw,300.0,500.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm500.0Nm35.0deg.csv,6246695,003996b2eabaa88429b56483c192c9bd492e32bff3841504f5653b49e594faa0
speed_300rpm__torque_600Nm__temperature_25degC,train,Fw,300.0,600.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm600.0Nm25.0deg.csv,6128109,c68b98ba53fbb68b081b203abf72907a037327acbe898431c8fdbaf5ac3d92eb
speed_300rpm__torque_600Nm__temperature_30degC,train,Fw,300.0,600.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm600.0Nm30.0deg.csv,6177339,5986c6bd8d8020f2274f33c123311cbc8b1a65a853a3846f0ecaeeeaf1bf2eaf
speed_300rpm__torque_600Nm__temperature_35degC,train,Fw,300.0,600.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm600.0Nm35.0deg.csv,6255336,3cfaab07b5e2b81979e45c30c90b49a2c24a48348902993c879baeedb0b5812f
speed_300rpm__torque_700Nm__temperature_25degC,train,Fw,300.0,700.0,25.0,data/polished_dataset/forward/25degree/300rpm/300.0rpm700.0Nm25.0deg.csv,6135182,ce55787d07542a0866eae8a0852083e2b4e9a7005d3baecf73cd28a8a8c0c0c9
speed_300rpm__torque_700Nm__temperature_30degC,train,Fw,300.0,700.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm700.0Nm30.0deg.csv,6268033,a68e6107216be1e589aa0881441c58bdd3f9be063147830a1619d51189263ca6
speed_300rpm__torque_700Nm__temperature_35degC,train,Fw,300.0,700.0,35.0,data/polished_dataset/forward/35degree/300rpm/300.0rpm700.0Nm35.0deg.csv,6272498,52dbc6a3f14352c4abe598d1a40f56a49575189dc36d71f8ccaab2335c3911a4
speed_300rpm__torque_800Nm__temperature_30degC,train,Fw,300.0,800.0,30.0,data/polished_dataset/forward/30degree/300rpm/300.0rpm800.0Nm30.0deg.csv,6103662,2d59f4e30effd896359cb143351f3e885db627a1798ecb6c76225940b8defa7d
