condition_id,split,source_path,row_count,source_size_bytes,filesystem_modified_at_utc,filesystem_timestamp_is_acquisition_evidence,forward_valid_row_count,backward_valid_row_count,forward_valid_segment_count,backward_valid_segment_count,valid_overlap_row_count,direction_window_order,inter_window_gap_row_count,inter_window_gap_duration_s,pre_valid_row_count,post_valid_row_count,controlled_warmup_label_available,deterministic_reset_marker_available,minimum_speed_rpm,maximum_speed_rpm,forward_valid_median_speed_rpm,backward_valid_median_speed_rpm,valid_window_direction_sign_pass,sustained_motion_segment_count,sustained_direction_reversal_count,single_reversal_pair_available,repeated_reversal_cycle_pass,repeated_major_loop_pass,minor_loop_marker_available,offline_reversal_oracle_available,real_hysteresis_training_eligible
speed_100rpm__torque_500Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm500.0Nm35.0deg.csv,456444,55475497,2026-06-23T17:45:23.912928+00:00,False,194400,194400,1,1,0,Fw_then_Bw,28767,7.19175,19439,19438,False,False,-100.84535926580429,18425116.19338767,99.9981164689719,-99.99990466894815,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_600Nm__temperature_25degC,validation,data/original_dataset/Test_25deg/100rpm/100.0rpm600.0Nm25.0deg.csv,466562,56716158,2026-06-23T17:44:50.327744+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38886,9.7215,19438,19438,False,False,-100.96281766406416,19436860.9313294,100.00202806744103,-99.99923413609697,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_600Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm600.0Nm30.0deg.csv,459842,55888611,2026-06-23T17:45:06.623354+00:00,False,194400,194400,1,1,0,Fw_then_Bw,32166,8.041500000000001,19439,19437,False,False,-101.07938199265239,18764629.481434796,100.0006310690272,-100.000575199374,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_600Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm600.0Nm35.0deg.csv,457554,55596880,2026-06-23T17:45:24.131457+00:00,False,194399,194401,1,1,0,Fw_then_Bw,29877,7.46925,19440,19437,False,False,-100.94113653758541,18535621.719360337,99.9995693321883,-99.99990466652282,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_700Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm700.0Nm25.0deg.csv,466564,56689103,2026-06-23T17:44:50.543917+00:00,False,194400,194401,1,1,0,Fw_then_Bw,38886,9.7215,19439,19438,False,False,-101.0056771337986,19436472.958233196,100.0037602680095,-99.99951353529468,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_700Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm700.0Nm30.0deg.csv,460628,55960900,2026-06-23T17:45:06.833957+00:00,False,194399,194400,1,1,0,Fw_then_Bw,32951,8.23775,19440,19438,False,False,-100.91202333569527,18842750.604450732,99.99850766325835,-100.00023993779905,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_700Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm700.0Nm35.0deg.csv,456861,55571428,2026-06-23T17:45:24.382205+00:00,False,194401,194400,1,1,0,Fw_then_Bw,29183,7.29575,19439,19438,False,False,-101.0656356617498,18466026.21328087,99.99951346738574,-100.00023993294842,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_800Nm__temperature_25degC,validation,data/original_dataset/Test_25deg/100rpm/100.0rpm800.0Nm25.0deg.csv,466564,56758122,2026-06-23T17:44:50.757776+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38887,9.72175,19439,19438,False,False,-101.14425793290138,19436082.614678863,100.00202806744103,-100.00023993779905,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_800Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm800.0Nm30.0deg.csv,459006,55776681,2026-06-23T17:45:07.057706+00:00,False,194399,194400,1,1,0,Fw_then_Bw,31329,7.83225,19440,19438,False,False,-101.01405899816504,18680160.564947873,99.9999046010392,-100.00130159702773,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_800Nm__temperature_35degC,validation,data/original_dataset/Test_35deg/100rpm/100.0rpm800.0Nm35.0deg.csv,455770,55396634,2026-06-23T17:45:24.591808+00:00,False,194400,194400,1,1,0,Fw_then_Bw,28093,7.02325,19439,19438,False,False,-101.09016673231963,18356457.833703596,100.000575199374,-100.00023986503948,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_900Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm900.0Nm25.0deg.csv,466562,56744651,2026-06-23T17:44:50.975615+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38886,9.7215,19439,19437,False,False,-101.17582973422638,19435588.012430802,100.00549260197052,-100.00023986503948,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_900Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm900.0Nm30.0deg.csv,460390,55899466,2026-06-23T17:45:07.269229+00:00,False,194399,194401,1,1,0,Fw_then_Bw,32713,8.17825,19440,19437,False,False,-101.16672146735557,18818196.297548734,100.00202806744103,-99.99956933703895,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_900Nm__temperature_35degC,test,data/original_dataset/Test_35deg/100rpm/100.0rpm900.0Nm35.0deg.csv,456287,55404494,2026-06-23T17:45:24.810249+00:00,False,194399,194400,1,1,0,Fw_then_Bw,28610,7.1525,19440,19438,False,False,-101.09089313967463,18407672.07585273,100.00130166493666,-100.00130159702773,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1000Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1000.0Nm25.0deg.csv,466564,56631422,2026-06-23T17:44:47.414145+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38887,9.72175,19439,19438,False,False,-101.28635913618685,19435212.695505466,100.00163693136224,-100.00130159702773,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1000Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm1000.0Nm30.0deg.csv,459778,55911364,2026-06-23T17:45:03.777247+00:00,False,194400,194400,1,1,0,Fw_then_Bw,32101,8.02525,19440,19437,False,False,-101.16912426504616,18756580.365020797,100.00202806744103,-99.99850766810899,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1000Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1000.0Nm35.0deg.csv,457159,55552364,2026-06-23T17:45:21.166109+00:00,False,194400,194401,1,1,0,Fw_then_Bw,29482,7.3705,19439,19437,False,False,-101.11760346626397,18494467.269927274,100.000575199374,-99.9992341385223,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1100Nm__temperature_25degC,validation,data/original_dataset/Test_25deg/100rpm/100.0rpm1100.0Nm25.0deg.csv,466564,56716343,2026-06-23T17:44:47.634143+00:00,False,194401,194400,1,1,0,Fw_then_Bw,38886,9.7215,19439,19438,False,False,-101.28138586878777,19434825.1826316,100.00063100111826,-99.99744594097137,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1100Nm__temperature_30degC,test,data/original_dataset/Test_30deg/100rpm/100.0rpm1100.0Nm30.0deg.csv,460016,55902355,2026-06-23T17:45:03.994338+00:00,False,194399,194401,1,1,0,Fw_then_Bw,32339,8.08475,19440,19437,False,False,-101.27998893343222,18779800.3948666,99.99917819610953,-100.00130159702773,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1100Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1100.0Nm35.0deg.csv,459037,55782256,2026-06-23T17:45:21.447493+00:00,False,194400,194399,1,1,0,Fw_then_Bw,31361,7.84025,19439,19438,False,False,-101.31468999315985,18681882.2660856,100.0026986002922,-100.00169280101545,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1200Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1200.0Nm25.0deg.csv,466564,56710261,2026-06-23T17:44:47.845864+00:00,False,194400,194399,1,1,0,Fw_then_Bw,38888,9.722,19439,19438,False,False,-101.30703446338885,19434429.65660247,99.99604893285625,-99.99817233377448,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1200Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm1200.0Nm30.0deg.csv,460131,55922221,2026-06-23T17:45:04.207215+00:00,False,194400,194400,1,1,0,Fw_then_Bw,32456,8.114,19438,19437,False,False,-101.55329480282187,18791032.87227447,99.99811646412127,-99.99951346738574,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1200Nm__temperature_35degC,validation,data/original_dataset/Test_35deg/100rpm/100.0rpm1200.0Nm35.0deg.csv,458186,55697040,2026-06-23T17:45:21.696534+00:00,False,194400,194401,1,1,0,Fw_then_Bw,30509,7.62725,19439,19437,False,False,-101.4571823325241,18596405.990961935,99.99917820096016,-99.99884293453458,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1300Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1300.0Nm25.0deg.csv,466564,56695512,2026-06-23T17:44:48.061045+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38888,9.722,19439,19437,False,False,-101.4428213335729,19434067.82973554,99.99412113393191,-100.00063107387784,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1300Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm1300.0Nm30.0deg.csv,458588,55757059,2026-06-23T17:45:04.425242+00:00,False,194400,194400,1,1,0,Fw_then_Bw,30910,7.7275,19440,19438,False,False,-101.49260979960673,18636121.389269873,99.99850766568368,-100.0020279995321,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1300Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1300.0Nm35.0deg.csv,459155,55807868,2026-06-23T17:45:21.941531+00:00,False,194401,194400,1,1,0,Fw_then_Bw,31477,7.86925,19439,19438,False,False,-101.47679593258849,18692919.42944753,99.9960490007652,-100.0026986002922,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1400Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1400.0Nm25.0deg.csv,466565,56703935,2026-06-23T17:44:48.282655+00:00,False,194401,194399,1,1,0,Fw_then_Bw,38888,9.722,19439,19438,False,False,-101.57050566340331,19433657.0417136,99.99359026551247,-100.00163686345331,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1400Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm1400.0Nm30.0deg.csv,459282,55792773,2026-06-23T17:45:04.642576+00:00,False,194400,194401,1,1,0,Fw_then_Bw,31605,7.90125,19439,19437,False,False,-101.4125905930996,18705129.355397064,99.99711066969515,-100.0019722074891,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1400Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1400.0Nm35.0deg.csv,459134,55779291,2026-06-23T17:45:22.196386+00:00,False,194401,194400,1,1,0,Fw_then_Bw,31457,7.86425,19439,19437,False,False,-101.46522893531558,18690530.171971735,99.99677539841893,-100.00197219778784,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1500Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1500.0Nm25.0deg.csv,466564,56726249,2026-06-23T17:44:48.511211+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38888,9.722,19439,19437,False,False,-101.64136066062686,19433273.90061686,99.990405132606,-100.00202805773976,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1500Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm1500.0Nm30.0deg.csv,460933,56035197,2026-06-23T17:45:04.863104+00:00,False,194399,194400,1,1,0,Fw_then_Bw,33257,8.31425,19440,19437,False,False,-101.54485699604265,18869866.27953127,99.99532246729359,-99.99956933703895,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1500Nm__temperature_35degC,train,data/original_dataset/Test_35deg/100rpm/100.0rpm1500.0Nm35.0deg.csv,459459,55834069,2026-06-23T17:45:22.454400+00:00,False,194401,194400,1,1,0,Fw_then_Bw,31782,7.9455,19439,19437,False,False,-101.71992707182653,18722551.48798227,99.99426080321427,-100.00376026922217,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1600Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1600.0Nm25.0deg.csv,466564,56728226,2026-06-23T17:44:48.748993+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38888,9.722,19439,19437,False,False,-101.96797552634962,19432717.775702465,99.98939926542032,-100.00130159702773,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1600Nm__temperature_30degC,validation,data/original_dataset/Test_30deg/100rpm/100.0rpm1600.0Nm30.0deg.csv,462239,56224063,2026-06-23T17:45:05.073543+00:00,False,194399,194400,1,1,0,Fw_then_Bw,34563,8.64075,19440,19437,False,False,-101.70623660087585,19000073.158945866,99.99359026551247,-100.00303386671779,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1600Nm__temperature_35degC,validation,data/original_dataset/Test_35deg/100rpm/100.0rpm1600.0Nm35.0deg.csv,460073,55936677,2026-06-23T17:45:22.652340+00:00,False,194400,194400,1,1,0,Fw_then_Bw,32397,8.09925,19439,19437,False,False,-101.73534973485705,18783583.319485202,99.98939933332925,-100.00130166493666,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1700Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1700.0Nm25.0deg.csv,466565,56715502,2026-06-23T17:44:48.985729+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38889,9.72225,19440,19436,False,False,-101.77463293075562,19432322.727106467,99.99046099740856,-100.00163693136224,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1700Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm1700.0Nm30.0deg.csv,460624,55993445,2026-06-23T17:45:05.299939+00:00,False,194400,194401,1,1,0,Fw_then_Bw,32947,8.23675,19440,19436,False,False,-101.78061206048974,18838198.144286867,99.99252853352421,-100.0026986002922,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1700Nm__temperature_35degC,validation,data/original_dataset/Test_35deg/100rpm/100.0rpm1700.0Nm35.0deg.csv,458317,55722645,2026-06-23T17:45:22.860538+00:00,False,194399,194400,1,1,0,Fw_then_Bw,30641,7.6602500000000004,19440,19437,False,False,-101.96339333197102,18607586.791869275,99.9960489377069,-100.00163693136224,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1800Nm__temperature_25degC,train,data/original_dataset/Test_25deg/100rpm/100.0rpm1800.0Nm25.0deg.csv,466564,56689210,2026-06-23T17:44:49.208646+00:00,False,194400,194400,1,1,0,Fw_then_Bw,38889,9.72225,19439,19436,False,False,-102.06934059776056,19431954.777538802,99.99219326709863,-99.9981724016834,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1800Nm__temperature_30degC,train,data/original_dataset/Test_30deg/100rpm/100.0rpm1800.0Nm30.0deg.csv,459956,55875986,2026-06-23T17:45:05.516148+00:00,False,194401,194400,1,1,0,Fw_then_Bw,32279,8.06975,19439,19437,False,False,-101.79989039897919,18771002.963092133,99.99291973266129,-100.00482199635978,True,2,1,True,False,False,False,True,False
speed_100rpm__torque_1800Nm__temperature_35degC,validation,data/original_dataset/Test_35deg/100rpm/100.0rpm1800.0Nm35.0deg.csv,457489,55577019,2026-06-23T17:45:23.061067+00:00,False,194399,194401,1,1,0,Fw_then_Bw,29813,7.453250000000001,19440,19436,False,False,-102.12650520164364,18524417.41235553,99.99325499908689,-100.00202806744103,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_0Nm__temperature_25degC,train,data/original_dataset/Test_25deg/200rpm/200.0rpm0.0Nm25.0deg.csv,224939,27566393,2026-06-23T17:44:54.165430+00:00,False,97200,97200,1,1,0,Fw_then_Bw,11100,2.775,9719,9720,False,False,-200.88661460128301,17771248.940247998,200.04540679898733,-200.05065953106777,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_0Nm__temperature_30degC,train,data/original_dataset/Test_30deg/200rpm/200.0rpm0.0Nm30.0deg.csv,230158,28184393,2026-06-23T17:45:10.617491+00:00,False,97200,97200,1,1,0,Fw_then_Bw,16320,4.08,9719,9719,False,False,-200.96557212915891,18815213.19039167,200.0446804013336,-200.04451273416635,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_0Nm__temperature_35degC,train,data/original_dataset/Test_35deg/200rpm/200.0rpm0.0Nm35.0deg.csv,225932,27779988,2026-06-23T17:45:28.475469+00:00,False,97200,97200,1,1,0,Fw_then_Bw,12092,3.023,9720,9720,False,False,-201.027318801304,17969614.9691194,200.03763959903154,-200.03663373063318,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_100Nm__temperature_25degC,train,data/original_dataset/Test_25deg/200rpm/200.0rpm100.0Nm25.0deg.csv,233281,28356918,2026-06-23T17:44:54.380131+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19443,4.86075,9719,9719,False,False,-201.02486013396023,19439060.41167673,200.03769546747208,-200.04613326697535,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_100Nm__temperature_30degC,test,data/original_dataset/Test_30deg/200rpm/200.0rpm100.0Nm30.0deg.csv,233282,28450004,2026-06-23T17:45:10.729188+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19444,4.861,9719,9719,False,False,-201.02346320830597,19438828.54560393,200.03518086741678,-200.0387292355299,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_100Nm__temperature_35degC,train,data/original_dataset/Test_35deg/200rpm/200.0rpm100.0Nm35.0deg.csv,233281,28684072,2026-06-23T17:45:28.589149+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19442,4.8605,9720,9719,False,False,-200.94623786765925,19438829.758018266,200.03316926401266,-200.04434513975866,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_200Nm__temperature_25degC,train,data/original_dataset/Test_25deg/200rpm/200.0rpm200.0Nm25.0deg.csv,233281,28659976,2026-06-23T17:44:55.598503+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19443,4.86075,9719,9719,False,False,-201.07325166463852,19438673.8831736,200.0331133325138,-200.04015419787416,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_200Nm__temperature_30degC,test,data/original_dataset/Test_30deg/200rpm/200.0rpm200.0Nm30.0deg.csv,233281,28858776,2026-06-23T17:45:12.012796+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19442,4.8605,9719,9720,False,False,-201.09504459348196,19438447.66309487,200.0303194023824,-200.03942773716213,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_200Nm__temperature_35degC,train,data/original_dataset/Test_35deg/200rpm/200.0rpm200.0Nm35.0deg.csv,233282,28843129,2026-06-23T17:45:29.832727+00:00,False,97200,97199,1,1,0,Fw_then_Bw,19443,4.86075,9720,9720,False,False,-201.07783373290053,19438437.13911247,200.02925773345245,-200.03942773716213,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_300Nm__temperature_25degC,test,data/original_dataset/Test_25deg/200rpm/200.0rpm300.0Nm25.0deg.csv,233281,28794698,2026-06-23T17:44:55.709891+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19443,4.86075,9719,9719,False,False,-201.17707546645156,19438292.457237802,200.03311339921007,-200.04644056704518,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_300Nm__temperature_30degC,train,data/original_dataset/Test_30deg/200rpm/200.0rpm300.0Nm30.0deg.csv,233281,28813358,2026-06-23T17:45:12.134055+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19443,4.86075,9719,9719,False,False,-201.08593626840351,19437853.953726605,200.02995616475042,-200.04607733183852,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_300Nm__temperature_35degC,train,data/original_dataset/Test_35deg/200rpm/200.0rpm300.0Nm35.0deg.csv,233282,28839339,2026-06-23T17:45:29.970004+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19443,4.86075,9720,9719,False,False,-201.12974567261213,19438063.13456967,200.02646366871582,-200.0380308018066,True,2,1,True,False,False,False,True,False
speed_200rpm__torque_400Nm__temperature_25degC,train,data/original_dataset/Test_25deg/200rpm/200.0rpm400.0Nm25.0deg.csv,233283,28840700,2026-06-23T17:44:55.819247+00:00,False,97200,97200,1,1,0,Fw_then_Bw,19444,4.861,9719,9720,False,False,-201.13572473443733,19437695.295866534,200.01456146322502,-200.0499330655051,True,2,1,True,False,False,False,True,False
